City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,kindia,10.0569,-12.8658,292.13,49,12,0.8,GN,1702353282
172,hotan,37.0997,79.9269,279.28,20,100,1.71,CN,1702353283
173,turkmenbasy,40.0222,52.9552,269.58,54,75,8.75,TM,1702353283
174,lihue,21.9789,-159.3672,299.73,82,40,3.6,US,1702353284
175,mugia,43.1041,-9.2179,288.8,91,100,7.7,ES,1702353284
176,mendota,36.7536,-120.3816,280.3,48,2,2.43,US,1702353285
177,susuman,62.7833,148.1667,251.47,96,100,2.24,RU,1702353285
178,wulingyuan,29.3494,110.5441,281.28,75,71,0.96,CN,1702353285
179,cabo san lucas,22.8909,-109.9124,296.35,75,65,1.8,MX,1702353169
180,albertina,-22.2008,-46.6158,289.97,94,0,1.88,BR,1702353286
181,mount pearl,47.5166,-52.7813,285.34,91,100,11.32,CA,1702353287
182,tolanaro,-25.0319,46.9987,299.19,83,20,4.12,MG,1702353287
183,puerto leguizamo,-0.1934,-74.7819,296.6,94,94,0.58,CO,1702353287
184,lagoa,39.05,-27.9833,288.47,63,13,6.9,PT,1702353288
185,yoichi,43.2039,140.7703,273.38,92,100,3.75,JP,1702353288
186,kasongo-lunda,-6.4667,16.8167,294.42,99,100,0.45,CD,1702353289
187,ippy,6.2679,21.2247,294.26,30,91,2.12,CF,1702353289
188,georgetown,5.4112,100.3354,305.34,77,20,1.03,MY,1702353289
189,totness,5.8833,-56.3167,298.26,92,87,3.78,SR,1702353290
190,perros-guirec,48.8145,-3.4396,285.65,96,49,0.89,FR,1702353290
191,kailua-kona,19.6406,-155.9956,300.13,90,75,3.09,US,1702353290
192,santa cruz,-17.8,-63.1667,299.85,74,80,3.09,BO,1702353291
193,minas de marcona,-15.2119,-75.1103,288.99,85,63,4.78,PE,1702353291
194,nkoteng,4.5167,12.0333,291.86,75,72,0.86,CM,1702353292
195,lethem,3.3803,-59.7968,300.11,66,97,3.91,GY,1702353292
196,revda,56.801,59.9303,241.58,96,18,1.37,RU,1702353292
197,smithers,54.7804,-127.1743,269.33,93,100,1.54,CA,1702353293
198,satka,55.0425,59.04,242.82,91,6,1.75,RU,1702353293
199,selfoss,63.9331,-20.9971,266.51,91,22,2.35,IS,1702353293
200,jequitinhonha,-16.4339,-41.0033,293.14,94,76,1.67,BR,1702353294
201,remire-montjoly,4.9167,-52.2667,298.17,94,20,0.0,GF,1702353294
202,richards bay,-28.783,32.0377,293.31,91,52,2.29,ZA,1702353294
203,st. john's,47.5649,-52.7093,285.81,90,100,11.32,CA,1702353180
204,enewetak,11.3474,162.3373,301.0,76,8,8.33,MH,1702353295
205,ilhabela,-23.7781,-45.3581,294.64,87,77,1.59,BR,1702353295
206,sao joao da barra,-21.6403,-41.0511,295.9,95,99,1.19,BR,1702353296
207,alavus,62.5833,23.6167,264.1,95,100,2.43,FI,1702353296
208,nagqu,31.5,92.0,260.4,72,100,2.49,CN,1702353296
209,hinton,53.4001,-117.5857,269.66,77,85,3.28,CA,1702353297
210,nizhnesortymskiy,62.4397,71.7603,245.45,86,100,5.57,RU,1702353293
211,nguigmi,14.2495,13.1092,290.21,36,0,5.89,NE,1702353298
212,ambon,-3.6954,128.1814,306.23,62,40,5.14,ID,1702353298
213,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,87,20,7.6,RU,1702353298
214,jackson,42.4165,-122.8345,283.08,91,100,0.0,US,1702353039
215,el nido,11.1858,119.3956,302.49,71,89,6.57,PH,1702353299
216,puerto baquerizo moreno,-0.9,-89.6,297.18,87,44,3.8,EC,1702353299
217,keflavik,64.0049,-22.5624,271.39,80,20,1.03,IS,1702353300
218,ebon,4.582,168.6964,300.33,85,98,8.13,MH,1702353300
219,grand falls-windsor,48.9332,-55.6649,287.87,82,100,7.15,CA,1702353161
220,chinde,26.8418,88.0763,288.86,48,21,1.87,NP,1702353301
221,boa vista,2.8197,-60.6733,301.14,69,0,4.12,BR,1702353173
222,college,64.8569,-147.8028,266.33,79,100,3.09,US,1702353302
223,benin city,6.335,5.6275,296.66,90,23,1.3,NG,1702353303
224,mungwi,-10.1732,31.3694,290.63,96,96,1.46,ZM,1702353304
225,hawaiian paradise park,19.5933,-154.9731,296.5,94,100,0.0,US,1702353304
226,najran,17.4924,44.1277,281.51,34,67,0.41,SA,1702353305
227,kurchatov,51.6601,35.6521,272.27,99,100,4.86,RU,1702353306
228,port lincoln,-34.7333,135.8667,294.24,52,62,4.95,AU,1702353307
229,canacona,14.9959,74.0506,301.89,43,41,2.42,IN,1702353307
230,el tigre,8.8875,-64.2454,297.18,85,12,4.89,VE,1702353308
231,vuktyl,63.8567,57.3094,253.21,93,100,6.71,RU,1702353309
232,nadi,-17.8,177.4167,304.15,45,40,8.75,FJ,1702353309
233,es castell,39.8795,4.2854,288.53,100,75,3.6,ES,1702353310
234,les cayes,18.2,-73.75,298.15,86,71,1.89,HT,1702353310
235,ormond-by-the-sea,29.3491,-81.0665,285.16,74,0,3.6,US,1702353310
236,mildura,-34.2,142.15,312.08,25,36,6.96,AU,1702353311
237,tofol,5.3248,163.0078,304.03,70,75,6.17,FM,1702353312
238,gamay,12.3854,125.2979,300.89,84,55,2.6,PH,1702353312
239,alofi,-19.0595,-169.9187,301.09,74,75,4.12,NU,1702353312
240,songea,-10.6833,35.65,293.79,94,75,0.0,TZ,1702353313
241,harstad,68.799,16.5293,271.01,91,58,2.26,NO,1702353313
242,lindi,-10.0,39.7167,298.31,92,100,1.13,TZ,1702353314
243,eyl,7.9803,49.8164,297.8,70,59,6.52,SO,1702353314
244,katsuren-haebaru,26.3369,127.8719,295.58,88,75,5.14,JP,1702353315
245,timbuktu,16.7735,-3.0074,291.79,25,0,5.52,ML,1702353315
246,corfu,39.62,19.9197,284.16,93,40,0.0,GR,1702353316
247,tionk essil,12.7856,-16.5217,296.13,77,9,2.19,SN,1702353317
248,sinjai,-5.1241,120.253,305.11,61,98,2.61,ID,1702353317
249,guerrero negro,27.9769,-114.0611,291.31,59,100,4.11,MX,1702353318
250,butha-buthe,-28.8333,28.5,280.02,72,0,0.88,LS,1702353318
251,fortuna,40.5982,-124.1573,284.81,96,20,0.0,US,1702353295
